,name,rating,reviews,company_details,salaries,interviews,jobs,benefits,rated_for
2665,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2666,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2667,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2668,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2669,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2670,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2671,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2672,Concentrix Corporation,3.9,20.2k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,100k,1k,124,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2673,Amazon,4.1,19.4k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more,116.9k,3.2k,686,4.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2674,Reliance Jio,3.9,18.7k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,64.8k,1.1k,181,2.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2675,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,196.9k,1.4k,1.5k,2.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2676,Larsen & Toubro Limited,4.0,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +600 more,76.3k,976,207,2.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2677,Reliance Retail,3.9,16.9k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +933 more,55k,1.1k,263,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2678,HDB Financial Services,4.0,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more,49.2k,531,108,1.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2679,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +140 more,74.1k,1.1k,275,1.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2680,TCS,3.8,67.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more,736.6k,5.6k,303,11.3k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2681,Accenture,4.0,42.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +154 more,513.6k,4k,4.4k,7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2682,Cognizant,3.9,38.6k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +126 more,496.6k,3.3k,492,5.8k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2683,Wipro,3.8,35.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +255 more,371k,3.3k,353,4.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2684,ICICI Bank,4.0,31.1k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1224 more,135.9k,1.7k,216,3.7k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2685,HDFC Bank,3.9,30.8k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1462 more,122.3k,1.4k,443,3.2k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2686,Infosys,3.9,29.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +151 more,412.9k,4.5k,817,5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2687,Capgemini,3.8,27.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +101 more,337k,2.3k,507,3.9k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2688,Tech Mahindra,3.7,25.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more,236.5k,2.2k,1.1k,3.5k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2689,HCLTech,3.7,25k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,252.7k,2.3k,647,4k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2690,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,176.9k,1.8k,722,3.6k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
2691,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more,92.8k,1k,309,2.1k,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits"
